
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
11.07.2018 23:00;12.07.2018 00:00;0,535;Tegelik;
12.07.2018 00:00;12.07.2018 01:00;2,224;Tegelik;
12.07.2018 01:00;12.07.2018 02:00;1,084;Tegelik;
12.07.2018 02:00;12.07.2018 03:00;0,349;Tegelik;
12.07.2018 03:00;12.07.2018 04:00;1,023;Tegelik;
12.07.2018 04:00;12.07.2018 05:00;0,792;Tegelik;
12.07.2018 05:00;12.07.2018 06:00;0,706;Tegelik;
12.07.2018 06:00;12.07.2018 07:00;0,27;Tegelik;
12.07.2018 07:00;12.07.2018 08:00;0,314;Tegelik;
12.07.2018 08:00;12.07.2018 09:00;0,48;Tegelik;
12.07.2018 09:00;12.07.2018 10:00;0,406;Tegelik;
12.07.2018 10:00;12.07.2018 11:00;0,4;Tegelik;
12.07.2018 11:00;12.07.2018 12:00;0,32;Tegelik;
12.07.2018 12:00;12.07.2018 13:00;0,747;Tegelik;
12.07.2018 13:00;12.07.2018 14:00;0,327;Tegelik;
12.07.2018 14:00;12.07.2018 15:00;0,214;Tegelik;
12.07.2018 15:00;12.07.2018 16:00;0,4;Tegelik;
12.07.2018 16:00;12.07.2018 17:00;0,386;Tegelik;
12.07.2018 17:00;12.07.2018 18:00;1,341;Tegelik;
12.07.2018 18:00;12.07.2018 19:00;1,39;Tegelik;
12.07.2018 19:00;12.07.2018 20:00;0,151;Tegelik;
12.07.2018 20:00;12.07.2018 21:00;0,324;Tegelik;
12.07.2018 21:00;12.07.2018 22:00;0,298;Tegelik;
12.07.2018 22:00;12.07.2018 23:00;0,29;Tegelik;
12.07.2018 23:00;13.07.2018 00:00;0,184;Tegelik;
13.07.2018 00:00;13.07.2018 01:00;0,716;Tegelik;
13.07.2018 01:00;13.07.2018 02:00;1,074;Tegelik;
13.07.2018 02:00;13.07.2018 03:00;0,272;Tegelik;
13.07.2018 03:00;13.07.2018 04:00;0,265;Tegelik;
13.07.2018 04:00;13.07.2018 05:00;0,258;Tegelik;
13.07.2018 05:00;13.07.2018 06:00;0,602;Tegelik;
13.07.2018 06:00;13.07.2018 07:00;1,006;Tegelik;
13.07.2018 07:00;13.07.2018 08:00;0,842;Tegelik;
13.07.2018 08:00;13.07.2018 09:00;0,239;Tegelik;
13.07.2018 09:00;13.07.2018 10:00;0,142;Tegelik;
13.07.2018 10:00;13.07.2018 11:00;0,827;Tegelik;
13.07.2018 11:00;13.07.2018 12:00;0,478;Tegelik;
13.07.2018 12:00;13.07.2018 13:00;0,783;Tegelik;
13.07.2018 13:00;13.07.2018 14:00;0,373;Tegelik;
13.07.2018 14:00;13.07.2018 15:00;0,43;Tegelik;
13.07.2018 15:00;13.07.2018 16:00;0,48;Tegelik;
13.07.2018 16:00;13.07.2018 17:00;0,422;Tegelik;
13.07.2018 17:00;13.07.2018 18:00;0,428;Tegelik;
13.07.2018 18:00;13.07.2018 19:00;0,366;Tegelik;
13.07.2018 19:00;13.07.2018 20:00;0,581;Tegelik;
13.07.2018 20:00;13.07.2018 21:00;0,582;Tegelik;
13.07.2018 21:00;13.07.2018 22:00;0,521;Tegelik;
13.07.2018 22:00;13.07.2018 23:00;0,502;Tegelik;
13.07.2018 23:00;14.07.2018 00:00;0,483;Tegelik;
14.07.2018 00:00;14.07.2018 01:00;1,425;Tegelik;
14.07.2018 01:00;14.07.2018 02:00;1,032;Tegelik;
14.07.2018 02:00;14.07.2018 03:00;0,188;Tegelik;
14.07.2018 03:00;14.07.2018 04:00;0,174;Tegelik;
14.07.2018 04:00;14.07.2018 05:00;0,149;Tegelik;
14.07.2018 05:00;14.07.2018 06:00;0,144;Tegelik;
14.07.2018 06:00;14.07.2018 07:00;0,14;Tegelik;
14.07.2018 07:00;14.07.2018 08:00;0,246;Tegelik;
14.07.2018 08:00;14.07.2018 09:00;0,217;Tegelik;
14.07.2018 09:00;14.07.2018 10:00;0,441;Tegelik;
14.07.2018 10:00;14.07.2018 11:00;0,355;Tegelik;
14.07.2018 11:00;14.07.2018 12:00;0,594;Tegelik;
14.07.2018 12:00;14.07.2018 13:00;1,937;Tegelik;
14.07.2018 13:00;14.07.2018 14:00;0,771;Tegelik;
14.07.2018 14:00;14.07.2018 15:00;0,407;Tegelik;
14.07.2018 15:00;14.07.2018 16:00;0,835;Tegelik;
14.07.2018 16:00;14.07.2018 17:00;1,42;Tegelik;
14.07.2018 17:00;14.07.2018 18:00;0,345;Tegelik;
14.07.2018 18:00;14.07.2018 19:00;0,206;Tegelik;
14.07.2018 19:00;14.07.2018 20:00;0,26;Tegelik;
14.07.2018 20:00;14.07.2018 21:00;1,121;Tegelik;
14.07.2018 21:00;14.07.2018 22:00;0,834;Tegelik;
14.07.2018 22:00;14.07.2018 23:00;0,633;Tegelik;
14.07.2018 23:00;15.07.2018 00:00;0,551;Tegelik;
15.07.2018 00:00;15.07.2018 01:00;0,314;Tegelik;
15.07.2018 01:00;15.07.2018 02:00;0,129;Tegelik;
15.07.2018 02:00;15.07.2018 03:00;0,057;Tegelik;
15.07.2018 03:00;15.07.2018 04:00;0,055;Tegelik;
15.07.2018 04:00;15.07.2018 05:00;0,055;Tegelik;
15.07.2018 05:00;15.07.2018 06:00;0,054;Tegelik;
15.07.2018 06:00;15.07.2018 07:00;0,059;Tegelik;
15.07.2018 07:00;15.07.2018 08:00;0,06;Tegelik;
15.07.2018 08:00;15.07.2018 09:00;0,061;Tegelik;
15.07.2018 09:00;15.07.2018 10:00;0,273;Tegelik;
15.07.2018 10:00;15.07.2018 11:00;0,276;Tegelik;
15.07.2018 11:00;15.07.2018 12:00;0,078;Tegelik;
15.07.2018 12:00;15.07.2018 13:00;0,108;Tegelik;
15.07.2018 13:00;15.07.2018 14:00;0,214;Tegelik;
15.07.2018 14:00;15.07.2018 15:00;1,491;Tegelik;
15.07.2018 15:00;15.07.2018 16:00;1,13;Tegelik;
15.07.2018 16:00;15.07.2018 17:00;0,654;Tegelik;
15.07.2018 17:00;15.07.2018 18:00;0,716;Tegelik;
15.07.2018 18:00;15.07.2018 19:00;0,144;Tegelik;
15.07.2018 19:00;15.07.2018 20:00;0,272;Tegelik;
15.07.2018 20:00;15.07.2018 21:00;0,397;Tegelik;
15.07.2018 21:00;15.07.2018 22:00;0,242;Tegelik;
15.07.2018 22:00;15.07.2018 23:00;0,143;Tegelik;
15.07.2018 23:00;16.07.2018 00:00;0,484;Tegelik;
16.07.2018 00:00;16.07.2018 01:00;0,224;Tegelik;
16.07.2018 01:00;16.07.2018 02:00;0,101;Tegelik;
16.07.2018 02:00;16.07.2018 03:00;0,084;Tegelik;
16.07.2018 03:00;16.07.2018 04:00;0,086;Tegelik;
16.07.2018 04:00;16.07.2018 05:00;0,134;Tegelik;
16.07.2018 05:00;16.07.2018 06:00;0,124;Tegelik;
16.07.2018 06:00;16.07.2018 07:00;0,073;Tegelik;
16.07.2018 07:00;16.07.2018 08:00;0,403;Tegelik;
16.07.2018 08:00;16.07.2018 09:00;0,945;Tegelik;
16.07.2018 09:00;16.07.2018 10:00;0,42;Tegelik;
16.07.2018 10:00;16.07.2018 11:00;0,424;Tegelik;
16.07.2018 11:00;16.07.2018 12:00;0,496;Tegelik;
16.07.2018 12:00;16.07.2018 13:00;0,775;Tegelik;
16.07.2018 13:00;16.07.2018 14:00;0,246;Tegelik;
16.07.2018 14:00;16.07.2018 15:00;1,29;Tegelik;
16.07.2018 15:00;16.07.2018 16:00;0,338;Tegelik;
16.07.2018 16:00;16.07.2018 17:00;0,823;Tegelik;
16.07.2018 17:00;16.07.2018 18:00;0,527;Tegelik;
16.07.2018 18:00;16.07.2018 19:00;0,25;Tegelik;
16.07.2018 19:00;16.07.2018 20:00;0,437;Tegelik;
16.07.2018 20:00;16.07.2018 21:00;0,394;Tegelik;
16.07.2018 21:00;16.07.2018 22:00;0,367;Tegelik;
16.07.2018 22:00;16.07.2018 23:00;0,334;Tegelik;
