Grupp;"Ajatempel (UTC)";Hind
lv;1562644800;45,66
lv;1562648400;55,22
lv;1562652000;57,54
lv;1562655600;58,64
lv;1562659200;57,78
lv;1562662800;58,27
lv;1562666400;58,09
lv;1562670000;56,19
lv;1562673600;53,86
lv;1562677200;53,72
lv;1562680800;50,88
lv;1562684400;44,77
lv;1562688000;51,83
lv;1562691600;52,9
lv;1562695200;47,66
lv;1562698800;44,79
lv;1562702400;32,95
lv;1562706000;31,47
lv;1562709600;32,88
lv;1562713200;32,06
lv;1562716800;31,44
lv;1562720400;31,15
lv;1562724000;31,12
lv;1562727600;32,31
lv;1562731200;45,77
lv;1562734800;60,36
lv;1562738400;62,94
lv;1562742000;65,66
lv;1562745600;65,66
lv;1562749200;64,06
lv;1562752800;65,66
lv;1562756400;65,65
lv;1562760000;61,22
lv;1562763600;60,4
lv;1562767200;55,13
lv;1562770800;55,16
lv;1562774400;52,78
lv;1562778000;60,4
lv;1562781600;60,77
lv;1562785200;46,35
lv;1562788800;33,45
lv;1562792400;32,89
lv;1562796000;34,4
lv;1562799600;34,21
lv;1562803200;33,99
lv;1562806800;33,77
lv;1562810400;33,54
lv;1562814000;34,15
lv;1562817600;54,31
lv;1562821200;63,03
lv;1562824800;69,84
lv;1562828400;71,15
lv;1562832000;70,32
lv;1562835600;70,3
lv;1562839200;71,11
lv;1562842800;72,08
lv;1562846400;64,79
lv;1562850000;67,56
lv;1562853600;62,1
lv;1562857200;62,01
lv;1562860800;60,11
lv;1562864400;60,54
lv;1562868000;60,54
lv;1562871600;56,09
lv;1562875200;46,31
lv;1562878800;34,53
lv;1562882400;47,43
lv;1562886000;36,68
lv;1562889600;36,19
lv;1562893200;36,01
lv;1562896800;35,54
lv;1562900400;47,42
lv;1562904000;57,36
lv;1562907600;62,53
lv;1562911200;73,77
lv;1562914800;75,58
lv;1562918400;75,58
lv;1562922000;75,65
lv;1562925600;75,65
lv;1562929200;75,54
lv;1562932800;73,77
lv;1562936400;71,47
lv;1562940000;62,3
lv;1562943600;61,87
lv;1562947200;61,62
lv;1562950800;63,24
lv;1562954400;61,18
lv;1562958000;36,7
lv;1562961600;36,26
lv;1562965200;35,64
lv;1562968800;37,65
lv;1562972400;37,15
lv;1562976000;36,48
lv;1562979600;36,12
lv;1562983200;36,13
lv;1562986800;35,36
lv;1562990400;36,07
lv;1562994000;36,58
lv;1562997600;49,23
lv;1563001200;49,29
lv;1563004800;49,26
lv;1563008400;49,23
lv;1563012000;49,24
lv;1563015600;49,25
lv;1563019200;49,24
lv;1563022800;49,24
lv;1563026400;37,9
lv;1563030000;40,06
lv;1563033600;42,87
lv;1563037200;46,07
lv;1563040800;36,92
lv;1563044400;36,82
lv;1563048000;37,28
lv;1563051600;36,95
lv;1563055200;35,85
lv;1563058800;35,04
lv;1563062400;34,05
lv;1563066000;33,77
lv;1563069600;33,21
lv;1563073200;33,2
lv;1563076800;33,87
lv;1563080400;34,76
lv;1563084000;36,33
lv;1563087600;42,08
lv;1563091200;49,11
lv;1563094800;49,14
lv;1563098400;49,12
lv;1563102000;46,63
lv;1563105600;42,08
lv;1563109200;35,27
lv;1563112800;35,31
lv;1563116400;36,58
lv;1563120000;37,84
lv;1563123600;49,11
lv;1563127200;43,29
lv;1563130800;38,45
lv;1563134400;38,61
lv;1563138000;37,42
lv;1563141600;36,97
lv;1563145200;36,58
lv;1563148800;36,45
lv;1563152400;35,16
lv;1563156000;34,93
lv;1563159600;36,84
lv;1563163200;50,85
lv;1563166800;60,73
lv;1563170400;64,23
lv;1563174000;70,07
lv;1563177600;71,15
lv;1563181200;71,11
lv;1563184800;71,42
lv;1563188400;70,05
lv;1563192000;65,62
lv;1563195600;65
lv;1563199200;69,29
lv;1563202800;64,5
lv;1563206400;61,89
lv;1563210000;61,94
lv;1563213600;61,97
lv;1563217200;58,09
lv;1563220800;46,07
lv;1563224400;37,24
lv;1563228000;36,82
lv;1563231600;36,27
lv;1563235200;34,93
lv;1563238800;33,89
lv;1563242400;33,13
lv;1563246000;38,1
lv;1563249600;50,07
lv;1563253200;52,49
lv;1563256800;59,9
lv;1563260400;61,13
lv;1563264000;61,13
lv;1563267600;60,52
lv;1563271200;61,3
lv;1563274800;61,15
lv;1563278400;60,15
lv;1563282000;59,22
lv;1563285600;56,67
lv;1563289200;54,45
lv;1563292800;54,49
lv;1563296400;56,84
lv;1563300000;55,6
lv;1563303600;56,69
lv;1563307200;48,76
lv;1563310800;38,58
lv;1563314400;38,74
lv;1563318000;37,94
lv;1563321600;37,68
lv;1563325200;37,28
lv;1563328800;37,6
lv;1563332400;40,31
lv;1563336000;49,38
lv;1563339600;59,86
lv;1563343200;61,36
lv;1563346800;59,86
lv;1563350400;59,34
lv;1563354000;60,37
lv;1563357600;59,71
lv;1563361200;60,35
lv;1563364800;59,16
lv;1563368400;59,75
lv;1563372000;61,04
lv;1563375600;56,76
lv;1563379200;60,77
lv;1563382800;59,78
lv;1563386400;60,17
lv;1563390000;60,73
lv;1563393600;56,7
lv;1563397200;39,62
lv;1563400800;44,86
lv;1563404400;38,43
lv;1563408000;37,82
lv;1563411600;37,71
lv;1563415200;37,49
lv;1563418800;48,32
lv;1563422400;60,92
lv;1563426000;62,65
